"measurement_id","x_acf1_gyro","x_acf10_gyro","diff1_acf1_gyro","diff1_acf10_gyro","diff2_acf1_gyro","diff2_acf10_gyro","max_kl_shift_gyro","time_kl_shift_gyro","outlierinclude_mdrmd_gyro","ARCH.LM_gyro","max_level_shift_gyro","time_level_shift_gyro","ac_9_gyro","crossing_points_gyro","max_var_shift_gyro","time_var_shift_gyro","entropy_gyro","nonlinearity_gyro","embed2_incircle_gyro","spreadrandomlocal_meantaul_gyro","flat_spots_gyro","x_pacf5_gyro","diff1x_pacf5_gyro","diff2x_pacf5_gyro","firstmin_ac_gyro","std1st_der_gyro","arch_acf_gyro","garch_acf_gyro","arch_r2_gyro","garch_r2_gyro","stability_gyro","firstzero_ac_gyro","trev_num_gyro","alpha_gyro","beta_gyro","nperiods_gyro","seasonal_period_gyro","trend_gyro","spike_gyro","linearity_gyro","curvature_gyro","e_acf1_gyro","e_acf10_gyro","walker_propcross_gyro","hurst_gyro","unitroot_kpss_gyro","histogram_mode_gyro","unitroot_pp_gyro","localsimple_taures_gyro","lumpiness_gyro","motiftwo_entro3_gyro"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",0.963518168403154,5.21611886478435,0.442462153111162,0.243436825295692,-0.0801039883022852,0.140545051150638,663.580145037723,49381,0.25926312311999,0.821031201660097,11.2149903799369,55947,0.537734149327475,3896,60.8761091384538,55931,0.753872083558666,0.110691230085272,0.744161222834209,9.03,2701,1.20945048327142,0.274126192828507,0.228770796489313,51,0.270119478155663,0.468060456058754,0.00120324164259052,0.250980828465364,0.0011911580926661,0.814658732394996,10671,-0.0229619925410395,0.999899826671507,0.717911330102627,0,1,0.128978173603638,6.97065560751128e-09,50.0383598821247,-20.4419962847033,0.958115704786331,4.69034334061941,0.141327027402977,0.999954177318763,27.7560947101417,-1,-2234.84458178933,2,1.20437831751796,0.988975450216093
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",0.97512525818497,6.55836235019858,0.364410546391468,0.159575922372967,-0.226817900937831,0.113752945030543,1269.54451972994,28590,0.554609502821463,0.917358970427041,9.00800538932752,45655,0.6876133703153,3687,31.3985168974172,49403,0.711900753641169,0.0456881886665644,0.83327230115717,7.92,7356,1.11461038344044,0.160833529953084,0.233307937971244,58,0.223038337252445,0.335174969927063,0.000543689665612734,0.244974980754138,0.0019484059007175,0.874924717058507,5282,-0.0229552544485828,0.999894459251462,0.355013038631626,0,1,0.204942952372595,9.271989011877e-09,27.9065378547281,10.3529393975397,0.968715093760764,5.82906334719638,0.226956274938645,0.999954177318763,9.10726951750525,-1,-1704.20195435312,3,0.919728445533738,0.748984370277239
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",0.16788869971099,0.0457036727797832,-0.356887469675294,0.18227258925519,-0.553587557629701,0.331474157305159,389.395379981994,58901,0.057757483680318,0.262849484462003,9.59103010210771,59080,0.0121386537504251,25486,95.0125492642391,59133,0.980678621742008,0.149214204126739,0.615276734284999,2.44,47,0.0446961748826014,0.409748699843446,0.904530640493916,2,1.29005208220217,0.930560409204183,0.00124944504269242,0.258771694982318,0.00124905303646536,0.138944354516599,2,-0.598783426994325,0.00720865146472297,0.00010002622064966,0,1,0.00990685583266715,2.02132548540549e-08,12.9024284702398,14.1542357948989,0.159560338232284,0.0403488404549422,0.408875383998931,0.609116999955501,15.1439474634489,-2.5,-56720.0744203183,1,22.7501624820126,2.03309576448115
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",0.975235402214658,7.31957839346728,0.278671079802607,0.15971726037407,-0.20092689815448,0.1447902683544,1712.42885404819,56703,0.832125684519834,0.888477001076716,11.107351287313,55083,0.767912549010643,7909,32.8992820466942,56752,0.616083582537945,0.0782410332582087,0.899125375815079,5.77,14800,1.09418066358044,0.145611679187484,0.340542842984191,55,0.222549176534852,0.218682303479411,0.0024553148712926,0.214182888732611,0.0024994294405065,0.908070346603408,8674,0.00805495308068488,0.999899945901167,0.0195285801905963,0,1,0.428885756201019,7.99992474278307e-09,90.6019379382103,73.8121381013628,0.95663817187788,5.65660063267973,0.245963769930712,0.999954177318763,60.3447236392938,-1,-1429.47843590782,2,0.621950772195165,0.745423886098789
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",0.738165481924273,5.94654758190178,-0.640347351443407,1.17934672274903,-0.770484922882022,1.72625105425129,445.827540313568,3131,-0.188499148950372,0.545133113140741,7.83182592257181,9366,0.722841208376096,7603,37.470483807732,9345,0.717137692907062,1.00589609025616,0.74252984611138,4.36,7312,1.30427915847561,0.866122968703912,1.53188836472317,1,0.72364448136229,0.882512062479141,0.00558047223170769,0.263293616781262,0.0248676246957431,0.798817471588643,3924,0.00583831762459062,0.126675646434802,0.028377277446569,0,1,0.125728445235718,8.65561183861807e-10,-60.967482562851,18.1465130517586,0.700516527472951,5.45552832059017,0.486779417777073,0.874049923727552,23.4468368405526,-1,-80829.2941624124,1,0.778233220275601,1.13774623448422
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",0.202045755400226,0.0460355773016276,-0.34424740714633,0.16007912513998,-0.554307682308702,0.319904254036746,128.770535209869,38816,-0.00235254859431056,0.00676864169939926,2.46231991331726,38908,0.0140044401341113,22704,19.1868082269144,40884,0.986919106566206,0.00339742855560077,0.413828775465937,2.26,55,0.0520849908302953,0.364988263019154,0.880473760927671,2,1.26324858390847,0.004298189592547,0.000352495676625278,0.00420470755576799,0.000353526627985491,0.140577497094568,2,-0.0475023483899269,0.00239417251273358,0.000100003608726483,0,1,0.00893015319932144,8.71770614976831e-10,-15.7145109568287,-0.16103967275172,0.194860502319222,0.0420986053939986,0.422131010778523,0.625946175941989,27.3956979390597,1,-49594.9720481801,1,0.377104160638768,1.88286934043245
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WLT",0.976128568426241,6.52229879269129,0.480995679785786,0.270907703437444,-0.0352948758026703,0.143084169203759,619.273520803892,22227,0.335086313399446,0.930731439096493,8.70520282932219,52319,0.685367094736791,2948,19.0532810860695,52314,0.742421757193775,0.0267560910081014,0.682874754640311,9.86,2872,1.2802707810291,0.32524230839339,0.221552888555356,54,0.218474750885063,0.372939876051371,0.000864709255148673,0.185406592218182,0.00071937172677782,0.878989349197765,1820,-0.00462511823264421,0.999899792994984,0.939181453180784,0,1,0.118716530442227,4.29703242639434e-09,-3.46911703472219,-18.2587489970673,0.972916893956257,6.12992273808488,0.117601883232883,0.999954177318763,1.62940361093525,-0.5,-1826.09114329203,2,0.29041336160539,1.03244854942063
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WH7",0.252470635149689,0.116237724862384,-0.341571729711155,0.158414682573691,-0.552634856741884,0.317357329316449,230.392161798904,1708,0.00612718500091813,0.00431767374294809,1.92872108718442,17734,0.081461055397216,19198,3.17173123752721,33462,0.964036821885804,0.00098663014755344,0.425340721881084,2.51,11,0.0804152693715856,0.36410985038023,0.876401200090533,2,1.22273256825934,0.000139155398791018,0.000108186980040193,0.000140060487158115,0.000107406013723288,0.196120660511868,6481,-0.00351848939175117,0.00376059552493288,0.000100007609751574,0,1,0.076282484799494,4.69873290329947e-10,-4.66929407222821,1.58514270883951,0.190728529394896,0.0409609620516792,0.429360892213169,0.67230234004741,15.2723296646481,0.5,-63513.0863037205,1,0.192086351542471,2.02254011937565
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WH7",0.957890043031618,6.05049449397037,0.138813139053731,0.0411824058389355,-0.371936750864093,0.16171551692697,757.926053643724,47415,-0.0628046744574291,0.913558788872554,13.6901245622907,47621,0.644692153389411,10160,51.7288374101504,47636,0.750211633692815,0.0712407638143245,0.87234294611427,7.99,5494,0.951859395251405,0.0351563354574458,0.376202556635168,62,0.290192295649728,0.702444655387002,0.00269452299923517,0.226809839146159,0.00284203941283471,0.857818161378042,812,-0.0239142205399457,0.999899380499156,0.000100290475833667,0,1,0.0644597571356645,1.80994903595039e-08,9.35902742062943,16.2060669964383,0.954989273395368,5.82573672196941,0.248017496118466,0.999954177318763,1.31344770754391,-1,-2431.03307370946,2,1.06581666809619,1.2588686649158
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WLT",0.198657547234514,0.045015995692039,-0.342888279719451,0.160451764073704,-0.552237842967604,0.317209323966623,112.309252605416,9559,0.0124307086088292,0.00191828971044562,2.31233178177205,11784,0.0150847213851569,24714,30.1224405368314,48575,0.986444045644439,0.00429100984400502,0.380430789781266,2.46,33,0.0519653283290405,0.369223527334071,0.884213306161893,2,1.26596838229482,0.00448269336389885,0.000236302131432329,0.00413699964199711,0.000236754803959987,0.13669582157469,2,-0.000891907250770667,0.00360861251068319,0.000100000539079997,0,1,0.0125794508043799,9.35880933407299e-10,6.68964540725605,1.80527348885729,0.188443984945495,0.0403443823294475,0.432919804311165,0.623776327827099,7.65460147008373,1,-49949.2474525754,1,0.393685880623794,2.05063248999728
